Thread ID: -608599848
Total: 0.053116

 %self     total     self     wait    child    calls  name
  0.20      0.00     0.00     0.00     0.00       14  <Class::ActiveRecord::Base>#sanitize_sql
  0.20      0.00     0.00     0.00     0.00        7  SQLite3::Database#prepare
  0.19      0.00     0.00     0.00     0.00      130  Hash#has_key?
  0.19      0.00     0.00     0.00     0.00       58  <Class::ActiveRecord::Base>#connection_handler
  0.19      0.00     0.00     0.00     0.00        7  Integer#times
  0.19      0.00     0.00     0.00     0.00      116  String#concat
  0.19      0.00     0.00     0.00     0.00        2  ActiveRecord::Calculations::ClassMethods#construct_calculation_sql
  0.19      0.00     0.00     0.00     0.00        5  SimpleForm::Inputs::Base#translate
  0.19      0.01     0.00     0.00     0.01        9  SimpleForm::FormBuilder#input
  0.19      0.00     0.00     0.00     0.00       11  ActionView::Helpers::InstanceTag#tag
  0.19      0.00     0.00     0.00     0.00      102  String#initialize
  0.19      0.00     0.00     0.00     0.00        5  ActiveRecord::AttributeMethods#method_missing
  0.19      0.00     0.00     0.00     0.00       84  String#downcase
  0.18      0.00     0.00     0.00     0.00        7  Hash#delete_if
  0.18      0.00     0.00     0.00     0.00        3  ActionController::PolymorphicRoutes#polymorphic_url
  0.18      0.00     0.00     0.00     0.00        6  <Class::ActiveRecord::Base>#instantiate
  0.18      0.00     0.00     0.00     0.00       54  <Class::ActiveRecord::Base>#connection
  0.18      0.00     0.00     0.00     0.00        7  <Class::ActiveRecord::Base>#add_joins!
  0.17      0.00     0.00     0.00     0.00       14  ActionView::Helpers::TagHelper#tag
  0.17      0.00     0.00     0.00     0.00       10  I18n::MissingTranslationData#initialize
  0.17      0.00     0.00     0.00     0.00       23  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.17      0.00     0.00     0.00     0.00       87  <Module::I18n>#normalized_key_cache
  0.17      0.00     0.00     0.00     0.00      114  Array#empty?
  0.17      0.00     0.00     0.00     0.00        7  <Module::I18n>#t
  0.16      0.00     0.00     0.00     0.00        9  ActionView::Helpers::InstanceTag#add_default_name_and_id
  0.16      0.00     0.00     0.00     0.00        6  ActionController::Base#url_for
  0.16      0.00     0.00     0.00     0.00        5  ActionView::Helpers::FormHelper#apply_form_for_options!
  0.16      0.00     0.00     0.00     0.00        7  Kernel#loop
  0.15      0.00     0.00     0.00     0.00       95  Thread#[]
  0.15      0.00     0.00     0.00     0.00        9  SimpleForm::Inputs::Base#html_options_for
  0.15      0.00     0.00     0.00     0.00        4  IO#write
  0.15      0.00     0.00     0.00     0.00       28  Regexp#match
  0.14      0.00     0.00     0.00     0.00        5  ActiveRecord::ConnectionAdapters::Quoting#quote
  0.14      0.00     0.00     0.00     0.00        7  <Class::ActiveRecord::Base>#add_conditions!
  0.14      0.00     0.00     0.00     0.00        5  ActionView::Helpers::FormTagHelper#submit_tag
  0.14      0.04     0.00     0.00     0.04        4  ActionView::Base#render
  0.14      0.00     0.00     0.00     0.00       82  Kernel#block_given?
  0.13      0.00     0.00     0.00     0.00       68  String#<<
  0.13      0.00     0.00     0.00     0.00       30  ActiveSupport::CoreExtensions::Hash::Keys#stringify_keys
  0.13      0.00     0.00     0.00     0.00       93  Array#last
  0.13      0.00     0.00     0.00     0.00       36  Array#sort
  0.13      0.00     0.00     0.00     0.00       24  ActiveRecord::ConnectionAdapters::SQLiteAdapter#quote_column_name
  0.13      0.00     0.00     0.00     0.00        7  ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.13      0.00     0.00     0.00     0.00        7  ActiveRecord::ConnectionAdapters::QueryCache#cache_sql
  0.13      0.01     0.00     0.00     0.01        5  <Class::ActiveRecord::Base>#find_every
  0.13      0.00     0.00     0.00     0.00        9  ActionView::Helpers::InstanceTag#initialize
  0.13      0.00     0.00     0.00     0.00       19  ActionController::Request#ssl?
  0.13      0.00     0.00     0.00     0.00       26  Array#-
  0.12      0.00     0.00     0.00     0.00       29  <Module::I18n>#default_separator
  0.12      0.00     0.00     0.00     0.00       80  <Class::Object>#allocate
  0.12      0.00     0.00     0.00     0.00       19  <Class::ActiveRecord::Base>#quoted_table_name
  0.12      0.00     0.00     0.00     0.00       20  Class#read_inheritable_attribute
  0.12      0.00     0.00     0.00     0.00        2  #<Module:0xb7344164>#list_tasks_url
  0.12      0.02     0.00     0.00     0.02        3  ActiveRecord::Associations::AssociationCollection#method_missing
  0.12      0.00     0.00     0.00     0.00        9  SimpleForm::FormBuilder#default_input_type
  0.12      0.00     0.00     0.00     0.00        5  ActionView::Helpers::FormTagHelper#extra_tags_for_form
  0.12      0.00     0.00     0.00     0.00       29  SimpleForm::Inputs::Base#attribute_name
  0.12      0.00     0.00     0.00     0.00        6  ActionController::UrlRewriter#rewrite_path
  0.12      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#parse
  0.11      0.00     0.00     0.00     0.00       22  ActiveSupport::CoreExtensions::Hash::Except#except
  0.11      0.00     0.00     0.00     0.00        3  ActionController::PolymorphicRoutes#build_named_route_call
  0.11      0.00     0.00     0.00     0.00       14  <Class::ActiveRecord::Base>#safe_to_array
  0.11      0.00     0.00     0.00     0.00       26  <Class::ActiveRecord::Base>#current_scoped_methods
  0.11      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_app47views47layouts47application46html46erb
  0.11      0.00     0.00     0.00     0.00        7  SQLite3::Database#execute
  0.11      0.00     0.00     0.00     0.00        4  #<Module:0xb7344164>#list_task_url
  0.11      0.00     0.00     0.00     0.00       87  Array#concat
  0.11      0.00     0.00     0.00     0.00       15  ActionController::RecordIdentifier#dom_class
  0.11      0.00     0.00     0.00     0.00       13  URI::Escape#escape
  0.11      0.04     0.00     0.00     0.04        3  ActionView::Base#with_template
  0.11      0.00     0.00     0.00     0.00       17  Array#collect
  0.11      0.00     0.00     0.00     0.00       65  Class#superclass
  0.10      0.00     0.00     0.00     0.00        5  List(id: integer, name: string, created_at: datetime, updated_at: datetime)#tasks
  0.10      0.00     0.00     0.00     0.00       15  List(id: integer, name: string, created_at: datetime, updated_at: datetime)#id
  0.10      0.00     0.00     0.00     0.00       36  Enumerable#any?
  0.10      0.00     0.00     0.00     0.00       67  Array#[]
  0.10      0.00     0.00     0.00     0.00        4  ActionView::Helpers::UrlHelper#convert_options_to_javascript!
  0.10      0.00     0.00     0.00     0.00        6  ActionController::Routing::RouteSet::NamedRouteCollection#[]
  0.10      0.00     0.00     0.00     0.00       20  HashWithIndifferentAccess#convert_key
  0.10      0.00     0.00     0.00     0.00       69  Kernel#kind_of?
  0.10      0.00     0.00     0.00     0.00       65  Kernel#hash
  0.10      0.00     0.00     0.00     0.00       17  Rack::Utils::HeaderHash#[]
  0.10      0.00     0.00     0.00     0.00       16  <Class::ActiveRecord::Base>#scope
  0.10      0.00     0.00     0.00     0.00        2  <Object::ActionController::Routing::Route>#generate_raw
  0.10      0.01     0.00     0.00     0.01        5  <Class::ActiveRecord::Base>#find
  0.10      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#with_scope
  0.10      0.04     0.00     0.00     0.04        1  ActionController::Base#render_without_benchmark
  0.10      0.00     0.00     0.00     0.00       43  Module#to_s
  0.10      0.00     0.00     0.00     0.00       11  ActionView::Helpers::TagHelper#tag_without_error_wrapping
  0.10      0.00     0.00     0.00     0.00       17  ActiveSupport::BufferedLogger#buffer
  0.10      0.00     0.00     0.00     0.00       13  ActionController::Request#raw_host_with_port
  0.10      0.00     0.00     0.00     0.00       34  Array#*
  0.10      0.00     0.00     0.00     0.00       11  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys
  0.10      0.00     0.00     0.00     0.00        4  ActionView::Helpers::UrlHelper#method_javascript_function
  0.09      0.00     0.00     0.00     0.00       48  ActiveRecord::Reflection::MacroReflection#options
  0.09      0.00     0.00     0.00     0.00       39  String#[]
  0.09      0.00     0.00     0.00     0.00        7  Mime::Type::AcceptItem#initialize
  0.09      0.00     0.00     0.00     0.00       14  Kernel#tap
  0.09      0.00     0.00     0.00     0.00        5  ActionView::Helpers::FormTagHelper#form_tag
  0.09      0.00     0.00     0.00     0.00        2  SimpleForm::ActionViewExtensions::InstanceTag#to_check_box_tag
  0.09      0.00     0.00     0.00     0.00        8  SQLite3::Database#ordered_map_for
  0.09      0.00     0.00     0.00     0.00        6  ActionController::Routing::RouteSet#options_as_params
  0.09      0.00     0.00     0.00     0.00        7  SQLite3::Statement#get_metadata
  0.09      0.05     0.00     0.00     0.05        6  Mutex#synchronize
  0.09      0.00     0.00     0.00     0.00       40  ActionView::Helpers::InstanceTag#object
  0.09      0.00     0.00     0.00     0.00       41  NilClass#to_s
  0.09      0.00     0.00     0.00     0.00       47  String#+
  0.09      0.00     0.00     0.00     0.00        7  <Class::ActiveRecord::Base>#add_limit!
  0.09      0.00     0.00     0.00     0.00       55  Fixnum#==
  0.08      0.00     0.00     0.00     0.00       20  ActionController::RecordIdentifier#singular_class_name
  0.08      0.00     0.00     0.00     0.00       34  Fixnum#to_s
  0.08      0.00     0.00     0.00     0.00       47  String#initialize_copy
  0.08      0.00     0.00     0.00     0.00       55  Kernel#object_id
  0.08      0.00     0.00     0.00     0.00       57  Module#==
  0.08      0.00     0.00     0.00     0.00       55  NilClass#nil?
  0.08      0.00     0.00     0.00     0.00       21  ActiveRecord::ConnectionAdapters::AbstractAdapter#quote_table_name
  0.08      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#attribute_condition
  0.08      0.05     0.00     0.00     0.05        1  TasksController#index
  0.08      0.00     0.00     0.00     0.00        5  ActionView::Helpers::FormBuilder#initialize
  0.08      0.00     0.00     0.00     0.00        3  ActionView::Helpers::AssetTagHelper#javascript_include_tag
  0.08      0.00     0.00     0.00     0.00       37  ActionController::Base#response
  0.08      0.00     0.00     0.00     0.00       11  ActiveRecord::Base#column_for_attribute
  0.08      0.00     0.00     0.00     0.00       15  SimpleForm::Inputs::Base#reflection_or_attribute_name
  0.08      0.00     0.00     0.00     0.00        4  Task(id: integer, name: string, done: boolean, created_at: datetime, updated_at: datetime, list_id: integer)#done
  0.08      0.00     0.00     0.00     0.00       33  Hash#keys
  0.08      0.00     0.00     0.00     0.00       19  ActionController::Request#protocol
  0.08      0.00     0.00     0.00     0.00        6  ActionView::Renderable#method_name
  0.08      0.00     0.00     0.00     0.00        5  ActionView::Helpers::FormTagHelper#form_tag_html
  0.08      0.00     0.00     0.00     0.00       38  ActiveSupport::SafeBuffer#to_s
  0.08      0.00     0.00     0.00     0.00        7  Hash#reject
  0.08      0.00     0.00     0.00     0.00        9  SimpleForm::FormBuilder#define_simple_form_attributes
  0.08      0.00     0.00     0.00     0.00        2  ActiveRecord::Associations::AssociationProxy#with_scope
  0.08      0.01     0.00     0.00     0.01        5  SimpleForm::Inputs::Base#render
  0.08      0.00     0.00     0.00     0.00       28  String#strip
  0.08      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#add
  0.08      0.00     0.00     0.00     0.00       44  Array#pop
  0.08      0.05     0.00     0.00     0.05        1  ActionController::Benchmarking#perform_action_without_rescue
  0.08      0.00     0.00     0.00     0.00        5  <Class::ActionView::Helpers::InstanceTag>#value_before_type_cast
  0.07      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_exit
  0.07      0.00     0.00     0.00     0.00        1  Rack::Lint#check_env
  0.07      0.00     0.00     0.00     0.00       20  Hash#values_at
  0.07      0.00     0.00     0.00     0.00       20  SimpleForm::Inputs::Base#reflection
  0.07      0.00     0.00     0.00     0.00        6  Class#allocate
  0.07      0.00     0.00     0.00     0.00       12  ActionController::Request#standard_port
  0.07      0.00     0.00     0.00     0.00       12  ActiveRecord::AttributeMethods::ClassMethods#match_attribute_method?
  0.07      0.00     0.00     0.00     0.00       10  ActionView::Helpers::RecordIdentificationHelper#dom_class
  0.07      0.00     0.00     0.00     0.00       11  Mime::Type::AcceptItem#<=>
  0.07      0.00     0.00     0.00     0.00       19  <Class::Time>#now
  0.07      0.00     0.00     0.00     0.00        6  String#%
  0.07      0.00     0.00     0.00     0.00        6  ActionController::Routing::Route#generate
  0.07      0.00     0.00     0.00     0.00        7  Rack::Utils::HeaderHash#delete
  0.07      0.00     0.00     0.00     0.00       27  ActiveRecord::Validations#errors
  0.07      0.00     0.00     0.00     0.00       12  ActiveRecord::Base#to_param
  0.07      0.00     0.00     0.00     0.00       46  Hash#empty?
  0.07      0.00     0.00     0.00     0.00        9  I18n::Backend::Base#interpolate
  0.07      0.04     0.00     0.00     0.04        3  ActionView::Renderable#render
  0.07      0.00     0.00     0.00     0.00        4  I18n::Backend::Base#preserve_encoding
  0.07      0.00     0.00     0.00     0.00        5  ActiveSupport::CoreExtensions::Hash::Slice#slice
  0.07      0.00     0.00     0.00     0.00        7  Rack::Utils::HeaderHash#[]=
  0.07      0.00     0.00     0.00     0.00        7  I18n::Backend::Base#default
  0.07      0.00     0.00     0.00     0.00       40  Array#shift
  0.07      0.00     0.00     0.00     0.00       29  I18n::Config#default_separator
  0.07      0.00     0.00     0.00     0.00       15  ActiveSupport::CoreExtensions::Hash::Keys#symbolize_keys
  0.07      0.00     0.00     0.00     0.00        5  <Class::ActiveRecord::Base>#find_by_sql
  0.07      0.00     0.00     0.00     0.00       11  ActiveRecord::Errors#on
  0.07      0.00     0.00     0.00     0.00       43  Array#first
